2.95;114;352;9;0.0321;5 miles;2.0;approximately 5 miles;144 metres;144
65 percent;Approximately 65 percent;80%;80;Chopsticks;39;39 percent in 2006 from 44;people largely rely on flour-based food;1993;1999
October 25, 1945;10 October;25 October 1945;May;1945;When he was 13 years old;2001;1937.The Japanese occupation ended with the imperial surrender in 1945;1945;1895
University of Sheffield;Massachusetts Institute of Technology;University of Kharkov;Harvard;University of Sheffield;National School of Fine Arts in Rio;University of Saint Petersburg;University of Bonn;University of Bonn and the University of Berlin;the Massachusetts Institute of Technology
5;14'000;6.5;10;18;4;5 kilometer;14'000 kilometers;18;10 kilometers
nine;four;three;LiechtensteinAustria;four;Styria and Austria;2;LiechtensteinAustria;nine states;three groups
Betty;Lady Ashton;Margaret Ross of Balneil;Ælfgifu;Frank Merry Stenton;Margaret;Dunbar;Edgar Ætheling;William Morrow;Raymond L. Newcomb
the Hurrians;Harvey Weiss;Deutsche Orient-Gesellschaft;Tell Mozan;Hurrians;Henri James Simon and banker Franz von Mendelssohn;John Chadwick;Shamshi-Adad I;Naram-Sin;Franz von Mendelssohn
Organization for Security and Co-operation in Europe;State Department;anti-human trafficking;Forum for Security Co-operation;Office for Democratic Institutions and Human Rights;stand-up meeting;Organization for Security and Co-operation in Europe;Organization for Security and Co-operation in Europe;the Organization for Security and Co-operation in Europe;A stand-up meeting
Ben Smilowitz;Michelle Bachelet;Russia;Gary Kamiya;General Accounting Office;Philip Weiss and Adam Horowitz;The General Accounting Office;Secretary-General to the CSW;Camp David;Smilowitz
118;18;around 2,000;118 people;5-38;American Journal of Ancient History n.s. 2;Pomo;Pomo people;three;three children
Isle of Islay;Östergötland;Amnias River;on Isle of Islay;the Amnias River;9th of Dunnyveg;the Highlands;Biskull Landzberg;Athens;Hysiae
66;53;19;31;eleven;600;13;nine;five;14
Empire;fifteen;20,000 tons;50 m (160 ft) tall;fifteen private, hereditary captaincies;INPE;The Portuguese;INPE;Lusophonie, in Brazil and Africa;Africa
Sarah Knauss;Euphemia Haynes;The Guess Who;Maryam Mirzakhani;Alice Sheppard;Sarah Knauss;Pat Nixon;Carrie Chapman Catt and Nettie Rogers Shuler;Superman;Superman and Wonder Woman
49;82;82;two;half a million;one;one copy;half a million copies;18;18 copies
2006;1993;1942;November 23, 2013;September 23, 2011;September 23, 2011;DVD September 7, 2004;13 December 2012;September 7, 2004;in 1942
47,965;12,418;17;2,398;"12,418 (2009 Census results);13,233";2,398 Telengits;17 people;three;"47,965 (2013 estimate); 50,757";three states
Franklin Miller Garrett;Atlanta Symphony Orchestra;Franklin Miller Garrett;Major General William T. Sherman;Bealer;Union spies;Bradley R. Rice;Major General William T. Sherman;the Union spies;the Atlanta Symphony Orchestra
Lacus Curtius;Hockley-in-the-Hole;The Lacus Curtius;run-of-the-river;stab-in-the-back;Stabbed at the Front;hydroelectric power stations that generate power using the run-of-the-river;the name of the largest class of warship, the ship of the line;Hockley;the name of the largest class of warship
253 metres;253 metres (830 ft);Highest Point;253 m;one hundred and twenty fifth;253 metres;253 m;Highest Point – Ta' Dmejrek, Malta at 253 m;1994;Turner, D.B. 1994
Kriegsmarine;Kriegsmarine;High Seas Fleet;Kriegsmarine;Old Nazis;Battle of Jutland;Royal Navy;The Royal Navy;Kriegsmarine;Nazi Germany's Kriegsmarine
northern Angola;northern Illinois, United States;Zimbabwe and Botswana;Ukraine and Belarus;northern Illinois;in northern Angola;Southern Africa;Belarus;Pittsburgh, Pennsylvania;Pittsburgh
Susan Lyons;April FitzLyon;Philippa Gregory;Smith;Victor Hugo;Emma Donoghue;Smith's;Victor Hugo;FitzLyon;Denis Donoghue
North America;South Cariboo;Canada;Bosnia and Herzegovina;Bosnia and Herzegovina;Kecskemét;USA/Canada;AD 51;Articles and events specifically related to the year AD 51;Hungarian
1998;1996;November 22, 2007;1994;30 January 2006;2008;1996;2005. A paperback edition in five volumes followed in 2009;2005;2007
eight;1687–1808;1687;eight;32;32 Number 1;one;one;just one province, or group several together;two
Tanakh;Yavne;Yavne;Old Testament;Old Testament;deuteros;Veritas Hebraica;Antilegomena;New Testament;Antilegomena
13,785;10,311;38,037;48 704;3,015;a thousand;a thousand;10,311 (as of 2001);48 704;Its population is 3,015
Poems and Ballads;University of Pennsylvania Museum;Forget-Me-Not;Chambers, Ephraim, ed;The Browning Box;CBS 8317;Chambers, Ephraim;in Poems and Ballads;Punch;20 Ely Place
west;south west;southwestern;westward;South-West;South;docks;1793 to the docks;open courtyard;Plymouth Dock (Devonport), England
four;fourteen;109.5451;150;150;280;12;two brothers, 13 and 17;two brothers;12 people
Edmonton;Montreal;Labrador;north of Newell Sound;Padloping Island;Nav Canada;Churchill, Manitoba via Southampton Island;Frobisher Bay, Northwest Territories;Happy Valley-Goose Bay in the province of Newfoundland and Labrador;north of Newell Sound
Granada, Andalusia, Spain;Morocco;Spain;Cuenca, Spain;Morocco;Granada;Lebap Province;Cuenca;Lebap;SpainList of missing landmarks in Spain
dog roundworm;wolf;wolf;Iberian Wolf;Gran Cantábrica;Canis familiaris;CMa for Canis Major, CMi;CMa;Lepus;Lepus
December 28, 1903;September 9, 1947;Alan Turing;1928;June 25, 1946;1992;June 16, 2004;Vannevar Bush;1943 or ‘44;Alan Turing, John von Neumann
Northern Rock;Northern Rock;Commercial and Agricultural Bank of Guayaquil;James B;James B;La Argolla;First Niagara Bank;Russian ruble;Russian;UAE
522;only to club members;five;passengers are not permitted to board;passengers are not permitted to board;The team took part in 7 WRC events, and in five;several hundred and sometimes more than one thousand;one thousand;passengers can change from one transport mode to the other in them;passengers can change from one transport mode
Karol Wojtyła;Pope Pius XII;Aníbal Muñoz Duque;Giovanni Battista Montini;Cardinal Giovanni Battista Montini;Archbishop Noè;Virgilio Cardinal Noè;Pope Benedict V;Pope John Paul II;Benedict V
The Canon of Amsterdam;The Canon of Amsterdam is a selection of fifty landmarks;The Amsterdam Zoo Artis in the Nineteenth Century;Amsterdam Zoo Artis in the Nineteenth Century;Contes et proverbes;Marketing Overleg der Amsterdamse Musea;in the manner of Ossian's disciples;His peasant scenes;peasant scenes;The Marketing Overleg der Amsterdamse Musea
13 December 1968;1874;March 18, 1850;1993;1850;1901;1968;1729;Rod Hardy-directed 1993;1729-1809
Victor Cousin;Fania Oz-Salzberger;John Millar;Arturo E;Alex Kane;Philip Weiss;Arturo Escobar and Gustavo Esteva;Louis Althusser;Étienne Balibar;Edward Burnett Tylor
2007;2005;2009;2006;1997;2012;2009;2016;Muslim Seven;2015
July 2003;14;65;15 days;around 65;1937;15;18;2000;January 2000
77–300;77–300;20,000;50,000;1.2 million;10 to 15 million;one;450;many European travellers in medieval China stopped there on their way coming or going;many
Laurence Marcellus Larson;Franz Berwald;Prince Frederick Charles of Hesse;King Haakon VII;Peder Strand Rygh;Oluf Rygh;Emma Simon;Louis Bernheim;Marcellus Larson;Franz Berwald, composer
15 October 2011;Monday, 2 January 2012;2 January 2012;15 October 2011;6 January 2012;October 15;November 16, 2011;11 September;June 1915;June 1915
April 2, 1995;October 2, 2012;May 2004;23 October 1936;Tuesdays;2010;December 4, 2010;1980s;the 1980s;May 2004
Dr Christopher Drewe;Edwin Lutyens;Arnulf;Mawnan SmithInce CastleLamellenLanhydrock House;Arnulf, as the first born Hugh;Mawnan SmithInce;Raymond IV;Raymond;Pepin II;Plectrude
Chicago, Illinois;moon Titan;the home;turbopause;Early Reentry Vehicles;upwards of 60 km/h;approximately the line between the mesosphere and the thermosphere;the moon Titan;Space travel guideEarly Reentry Vehicles;another parking spot
Italian;Guatemala;Italian;Latin American;Guatemala;Italian-British-Spanish;Italian-British;Latin;France;Italian
Massimo Polidoro;Peter Popoff;Randi;Phil Plait;Wendy M. Grossman;Peter Popoff;Jim McCormick;James Randi;Massimo Polidoro;Geller
77,400;1,040 square kilometres;900;900;Mozambique;810;77,400 hectares;810 hectares;30,000;Maputo Special Reserve Mozambique
Litchfield;New York;Hartford;Litchfield;Bridgeport;Fairfield County;Connecticut;"Bridgeport, Connecticut adjacent to the ""Long Beach West"" area in Stratford";City of New York;Connecticut
Eurovision Song Contest;the Eurovision Song Contest;European Broadcasting Union;European Broadcasting Union (EBU);the first French Catholic priest who became a Presbyterian minister;"Chiniquy"" the first French Catholic priest who became a Presbyterian minister";best competing songs in the final;the best competing songs in the final;telier populaire;populaire
500,000;Not all;A majority;A majority of the residents are Sunni Muslim;Hindus exist in comparatively smaller numbers;Hindus exist in comparatively smaller numbers;List of Islamic studies scholars;ISBN 978-3-11-081168-1;Tipu Sultan, famous Muslim king of Mysore;Tipu Sultan
seven;seven times;81;81 out of 100 calculated from 20;2015;14-7;eight;eight-month;seven;five
Saipan;Bonin Islands;Bonin;New York City;Guadalcanal;Pagan;New York;Garden City;Raising the flag on Iwo Jima;Raising the flag on Iwo JimaThe Unknown American Soldier
615;1966;1922 the economy was in a bad state following World War I;1922;2008;1970;Uganda did not become a republic de jure until 1966;1970;1954;1948
Albert Einstein;Wardenclyffe;Kyouma Mabuchi;Madman Entertainment;Nikola TeslaNikola Tesla;Antonín Dvořák;Robyn Archer;Robo;Brian Clevinger and artist Scott Wegener;Nikola TeslaNikola
Our Lady of the Forest;Saint Peter and Paul church;Santa María la Blanca;Rasmus Svendsens Skole;Yu Aw Synagogue;Saint Peter and Paul;HungarianLamentations of Mary;Rasmus Svendsens Skole from 1633;HungarianLamentations of Mary;Our Lady of the Forest
Haleakalā;Denali;Denali;Aladaglar;The Aladaglar;Mount Shasta;Mount Whitney;Rocky Mountains;Denali;Mauna Kea
brothel madam;born 1942;1942;Lovisa von Plat, brothel madam;Richard Madden;Renaissance in Florence;The Age of the Medici;his father Giovanni;Homeric Trojan War;Trojan War
legislative;Roman laws;political formations;constitutional;constitutional forms;active matrix of the political formations;federal shield law;federal shield law and state shield;republican;republican
Kim Valentin;Thomas Lykke Pedersen;Erik Buhl Nielsen;Olav Aaen;Dansk Jernbane-Klub;Ole-Christian M;Kim Valentin;Olav Aaen;Thomas Lykke Pedersen;Erik Buhl Nielsen
Paul Theroux;J.R.R. Tolkien;David Attenborough;Paul Theroux;Flavius Philostratus;Donald Monro;Penguin Books;Haruki Murakami;Donald Monro (or Munro);writer Paul Theroux
Madeira;Santiago;Corvo;Madeira;Angra do Heroísmo;Arguin island;Arguin;Madeira is a settlement in Porto Moniz parish, Madeira;Santiago in southcentral Cape Verde;island of Madeira
95 lumens per watt;0.07%;270 lm/W;coarse cross veins;coarse cross veins in the upper part;estimated probability of 0.07%;step-drawdown test of artesian wells;theoretical analysis of step-drawdown test of artesian wells;18-LED bulbs;158 18-LED bulbs
August 8, 2008;1946;October 31, 1948;1994;1991–2005;138–39, 146;2005;Holocaust denial booklet by Richard Verrall== Fair use rationale;Holocaust denial booklet;born 1946
1965;1960;1965;1953;1999;1963;1966;1964;2005;1966
Crop Over;Crop Over;rally;Grand Stand;Annual Carnival Celebration;Magnificent Seven Houses;Barbados Stock ExchangeCongaline;Crop Over;squibbing;Bridgwater Guy Fawkes Carnival
escarpment;Mekong;Red Sea;the Mekong;the Red Sea;Red Sea;Mozambique/Agulhas Current;Red Sea coast;Ural Mountains;the Ural Mountains
Amaal Mallik;Rajat Arora;Hans Zimmer;M. Jayachandran;Harry Gregson-Williams;M. Jayachandran;Harry Gregson-Williams;Sadhu Kokila;Ron Howard;Sadhu Kokila
Dutch;French;Dutch;French;Dutch;Dutch;French;Flemish-Dutch;Limburgish;Dutch
Women's Development Organization;ratio at birthtertiary sex ratio;Natural selection of parental ability to vary the sex ratio of offspring;Women's Development Organization, a group in Kenya;sex boycott;sex boycott, is a strike, a method of non-violent resistance;better equality between the genders;to encourage their husbands to demand that the government repair the water system;There was a bombardment of sexual stimuli;Stonewall riots of 1969
February 16, 1935;February 16, 1935;1923;18 January 1912;2003;Craftsbury, Vermont;1934;He was born in Craftsbury, Vermont;Norman Parkinson;1970
US$1.95 billion;$1.95 billion;As of May 1, 2014;95 - 100% state financing;95 - 100%;As of May 1;half a million dollars;The Hilton London Syon Park;Waldorf Astoria Syon Park;half a million
Artpop;ArtRave;The Planets, Op. 32;The Planets;Lovebox;Dance-pop;Ariana Grande's Problem;Lady in the Radiator Song;Radiator Song;Lovebox which was released on June 2, 2010. Lovebox
a town in Ukmergė district, Lithuania;Babtynas;Babtynas;a disk operating system for Russian ZX Spectrum clones;Defense Advanced Research Projects Agency;a town in Ukmergė district;Gorgon Stare Increment 2;disk operating system for Russian ZX Spectrum clones;A what-not is a piece of furniture;it is a convenient piece of drawing room furniture
Esau Khamati Oriedo;Ivor Noël Hume;Edward Eric Khasakhala;Asmara Chitet;Menelik;Bokassa;Bokassa;Ivor Noël Hume;Ptolemy I Soter;Augustine
910;1627;Autumn 2009;1049;1616–1623 and 1624–1642;1624;838-841;1616–1623;Beijing 1991;1986
April 19, 1917;May 2010;August 29, 2005;02:35;November 29, 1947;22 June 2010;1941–1945;on April 19, 1917;2010;November 29
infrared radiation;rings around Uranus;NGC 132;double stars;The Eskimo Nebula;platinum process;a bright cluster of stars within the nebula;bright cluster of stars within the nebula;Eskimo Nebula;NGC 132 is a spiral galaxy in the constellation Cetus
1923;1923;1932–33;1932–33;1912;1920s;1916;July 2014;1947;2014
Germany;England;Iceland;Southeast Asian;Continental Chile;former Southeast Asian;Continental Chile;Bavaria, Germany;French étagère, which was exceedingly popular in England;Iceland
Iceland;between Paarl and Franschhoek;Jilava;statue of Mandela stands just outside the prison gates;Gandhipuram bus stand in Coimbatore, Tamil Nadu, India;Gandhipuram bus stand;Jilava is a commune in Ilfov county, Romania;in Iceland;their prison;The prison warden supervises all the operations in their prison
Manawaiopuna Falls;Ray Street Bridge;the Ray Street Bridge;Manawaiopuna;hydroelectric power stations that generate power using the run-of-the-river;run-of-the-river;sorhajóhadnagy in the Hungarian;Linienschiffsleutnant in the Austrian merchant fleet;Munich Löwenbräu-Keller;Dolchstoßlegende
Aristotelean realism;anti-colonial critique of Western philosophy;Mathematical Structuralism;descriptive;anti-colonial critique of Western philosophy;post-structuralist period;laissez-faire capitalism;hermeneutics;moving beyond the modernist polarities of liberal feminism and radical feminism;unstable
163;17;17;8,027;1833;8,027 persons;Ruwan Rajapakse;163 people;211,909;199,227
Germany;Norwegian;Heldenbuch;Stuttgart;Santiago Chile;knittelvers, a form of doggerel;Norwegian (bokmål);knittelvers;Germany during the Middle Ages;beside of Palacio La Moneda at Morandé Street
April 14, 1865;August 26, 1886;April 14, 1865;October 17, 1889;April 4;October 5, 2007;March 4;April 14, 1865;14th of April, 1865;October 5
1453;2014;1922;1692;1100 BC;1901;1844;1877–78;1920;1692
Thor Heyerdahl;Sebastian Okechukwu Mezu;Samuel Coccius;Lưu Hữu Phước;John Willard Toland;Toland;Hữu Phước;historian Samuel Coccius;Sebastian Okechukwu Mezu;Thor Heyerdahl in his book Kon-Tiki
1772;1922;1740;2001;1921;1957;5th century;1749;1919;5th-century
Texas;Texas;Texas;Texas Forts TrailForts of Texas;Ohio;Texas;West Texas;Texas;Ohio - January 1981 Glendale, California;Texas
Live Nation;AEG;Live Nation;Ellison;The Anschutz Corporation;John Ellison;Classical Movements;Strathmore Music Center;Toyota. Live Nation;Live Nation and located in Houston, Texas, United States
trouser pockets;geocache containers;Oregon State;DVDCoin;Oregon State coin;Butterfields;molded pulp;from trouser pockets;eBay auction house Butterfields;silver, brass, sheet iron, paperboard, wood, melamine
Senator Patrick Leahy;Bernie Sanders;Bernie Sanders;Representative Lamar S. Smith;Patrick Leahy;Representative Lamar Smith;Senators Gordon Smith;Gordon Smith;President John F. Kennedy;John F. Kennedy
heavier elements;reddish clay;reﬁned reddish clay;6,000-year-old;6,000-year-old flute;Galactic;high abundance of heavier elements;Galactic Globular Clusters;Omega Centauri;metallicities and stellar ages that suggests that it did not all form at once
Vaduz;Vaduz;Vaduz;Thimphu;Oberland;Switzerland;VaduzCities of Liechtenstein;Die Postmarke - Vienna;the capital of Thimphu;Its capital is Vaduz
1992;1992;September 23, 1950;15 February;December 1985;1985;July 1, 1949;eighties;January 9, 2001;October 1999
Royal Canadian Air Force;Royal Canadian Air Force;13th;Confederate Air Force;13th Air Force;Tuskegee Airmen;Commemorative Air Force;Confederate Air Force;Equatorial Guinea's Police;Confederation of African Football
July 2015;2014;June 16;July 21, 2012;domestic slave trade;terrible fragmentation of family solidarity caused by the domestic slave trade;July 19, 2011;May 2013;1672;Nor did Buckingham and Ashley get on very well with each other
Kaohsiung City;Kaohsiung City;Dnipro;Innenstadt;Budapest;Innenstadt (Inner City);Budapest;Türkmenabat;Dnipro;Atamyrat District
80 kilometers (50 mi);−143 °C;"−85 °C (−120 °F; 190 K)";120 km (75 mi);below −143 °C;cooler;the mesopause should become cooler;about 80 kilometers (50 mi);above the outer core;660 kilometers (410 mi)
Guilford Courthouse National Military Park;Long Island City;Greensboro;Monmouth Courthouse 1778: The last great battle in the North. Long Island City;Guilford Courthouse National Military Park;Greensboro, North Carolina;sorhajóhadnagy in the Hungarian;Spanish, sorhajóhadnagy in the Hungarian;Hydroelectric power stations;only current net capacity is listed
Kinect;Kinect;Kinect : Kinect;Kinect;Kinect;3D Motion sensor;3D Motion sensor;Kinect;Infrared Control Freak 360;the Wii
Liverpool;Liverpool;Preston North End;Leeds United;Aston Villa;Aston Villa;Notts County;Notts County;New York Mets;New York Mets, Minnesota Twins
Anthocyanins;resveratrol;flavonoids;glycosides;Aristida purpurea;Aristida purpurea;Bunches of small and often sour but edible;small and often sour but edible;the most abundant harvests also gave the best vintages;vintages
Danish;Tanzania;Guyana;German;Prussia;Spain;Republic of Finland;Finland;Spain;Prussia
1967;1983;2005;1943;1943;1971;1988;1987;1987;1967
12 July 1990;31 December 1999;1987;December 24, 1991;July 12, 1990;December 8, 1991;December 25, 1991;July 13–14;1992;1987
Sam Woolf;Katie Stevens and Andrew Garcia;Kelli Glover;Kelli Glover;Stephanie Edwards;Stephanie Edwards;Diana Vickers;Diana Vickers;Megan McKenna;Mandy Pickering
eastern Cambodia;eastern Cambodia;Chorla Ghat area;just to the south of Mhadei Wildlife Sanctuary in Goa;northern plains of Cambodia;the northern plains of Cambodia;eastern Cambodia on the border to Vietnam;Lomphat Wildlife Sanctuary;in eastern Cambodia;Lomphat
improve our chance of survival;weapons of mass destruction;the body;mobility;catastrophe;Apollo 1 launch pad fire;deadly 1967 Apollo 1 launch pad fire;extinct civilization of giants;an extinct civilization of giants;mass destruction
2007;1965;1965;1999;The 2007;2004;10 February 2005;1994;1932;in 1932
Disneyland Resort;Universal Orlando Resort;Solahütte;Solahütte;Concierge Collection;all-inclusive resort;Maldives;Disney Vacation Club;Destination resorts;Yulara
1984;1987;March 15, 2008;January 31, 2017;1975;In 1975;March 15, 2008;January 31, 2017;in 1984;in 1987
874,400;874,400;5,700,000;44;more than 1,000;5,700,000;17;more than 1,000;50,000 population;50,000
Le Bourget Airport;Helsinki Airport;Le Bourget Airport;King Khaled Military City Airport;Al Qaisumah/Hafr al Batin Airport;Helsinki;Busiest airports in France;Cochin International Airport;Chennai Air Traffic Control Centres;France
Khiamian;Stone Age;Bronze Age;Mesolithic era;classical age;Pompeian era;Pompeian;The classical age;Heisei;Juche era
Sărmaşu;Rozewie;Chauk;Khairpur;Sărmaşu, Mureş County;Yangon;Yangon;Kadanwari;Rozewie;Chauk (Burmese: ချောက်)
cut-up and sugared pancake with raisins;traditional Viennese food;traditional Viennese;sugared pancake with raisins;A culinary giant's legacy;Old Southern Cooking;From the Caucasus to the Roof of the World;Ottoman cuisine;mortar;Kurdish cuisine
bull-baiting and bear-baiting;snowfields;severe urban problems;bull-baiting;snowfields on the mountainside;severe urban problems;late winter avalanches;late winter avalanches that have repeatedly destroyed every protective barrier ever constructed;;
12 June 1724;1453;1453;May 29, 1453;1397;1623;24 June 1724;the eve of the Turkish conquest to the Greek War of Independence;eve of the Turkish conquest to the Greek War of Independence;in 1623
296;James Aylward 296;over one hundred;over one hundred members although only ten;English cricketers;Lord's Cricket Ground in 1825;10;10 of them, with a record of won 4, lost 6;119;as many as 119
three months;early 19th-century;sixteen years;over sixteen years;more than a century;less than two years;two years;1774;19th-century;1774
a hundred men;a hundred men;32nd;32nd (1876 - 1879);20;20 (11th ed.);In the Austro-Hungarian Compromise of 1867;Austro-Hungarian Compromise of 1867;Guerrier was active in the Moscow City Duma;From 1876 Guerrier was active in the Moscow City Duma
Bill James;Kim D;Kaga;David Smyth;Kim Rossmo;Sugo Corporation;Johann Friedrich Böttger;Johan Gregor Herold;Red Bull Driver Sebastian Vettel;Red Bull Racing Driver Sebastian Vettel
a large Main belt asteroid;a disk operating system for Russian ZX Spectrum clones;large Main belt asteroid;disk operating system for Russian ZX Spectrum clones;slender uprights or pillars;slender uprights or pillars, supporting a series of shelves;1.8 Gigapixels video system;ISO 3166-2:IS is the entry for Iceland;1.8 Gigapixels;Iceland
87 m;2 km;7.30 m (24.0 ft);2 km;266 metres (873 ft);266 metres;400 metres (1,300 ft);7.30 m;1,300 ft;87 m
Xbox Live Silver;Xbox Live Silver;Windows Phone;Xbox Live;PlayStation Network;Windows Phone;Xbox Live;Air Warrior;ApocalyPS3;LINKS
Russia;east coast of the Black Sea;Fort San Andres;on the east coast of the Black Sea;west side;On the west side;Royal Bank now stands;Russia;Hawaii;present-day Wrangell
East 58th Street;35th Street;Gorki Street;Štefánikova Street;Poštová Street;Bo Aung Kyaw Street;Moscow's Gorki Street;Bo Aung Kyaw Street or Road, formerly Sparks Street;30th to 61st Streets, between Second and Ninth Avenues;30th to 61st Streets
2010;1973;2012;2012;2012;2500;2012;1699 == 1701–1799;5000;1583–1699
June 22, 1939;1990;1917;27 April 1894;1978;May 16, 1899;6 January 2010;1902;recent years;in recent years
Levi Johnston;Levi Keith Johnston;Levi Johnston;Julianne Moore;Melissa Farman;former Alaska governor Sarah Palin;Sean Lowe, Bob Fu, Shawn Johnson, and Stacey Dash;Parents Television Council;Levi Keith Johnston (born May 3, 1990);Nancy French
Padruna, India;on the ground;Iceland;15 kilometres (9.3 mi) from Padruna, India;Sermersooq, Greenland;northeast of Sermersooq, Greenland;the ground;ISO 3166-2:IS is the entry for Iceland;Leningrad, USSR;USSR
Anna L. Peterson;Asunción Lavrin;Zurab Avalishvili;Anna L;Lavrin;King Teimuraz I;Les grades de la Marine nationale;sorhajóhadnagy;Hydroelectric power stations;run-of-the-river method
Thermantia;Arcadia;Saint Pulcheria;Hypatia;Hypatia;Prabhavatigupta;Maria;Thermantia, second daughter of Stilicho;Pulcheria;Arcadia (3 April 400 – 444)
910 million dollars;910 million dollars;police whistle;out for clarinetist and orchestra;50 km;Kaiser Wilhelm II, German Emperor and King of Prussia;German Emperor and King of Prussia;50 km further north at Bremerhaven into the North Sea;twenty minutes;roughly twenty minutes
1500–1800;1525;1440;1834;1695;1704;1665;15th to 18th centuries;1811 until 1845;in 1440
a four-way interchange on the German autobahn network;a four-way interchange on the German autobahn network;a disk operating system for Russian ZX Spectrum clones;San'a;slender uprights or pillars;disk operating system for Russian ZX Spectrum clones;drawing room furniture;Defense Advanced Research Projects Agency;Gorgon Stare Increment 2;Neither of the claimants was able to control the key city San'a
687 metres;Parque Nacional Monte Roraima;5%;2,995.3 metres;3.34%;3.34%;2,995 metres (9,826 ft);2,995 metres (9,826 ft);Canadian Geographical Names @ NRCBivouac.com;Canadian Geographical Names
Unnecessary Fuss;Pit of despairTesture;Sister Kenny;Sport Concussion Assessment Tool;Sister Kenny (1946);Sport Concussion Assessment Tool (SCAT);"University of HartfordHarvard Medal for ""outstanding service to the University";University of Hartford;Pukeora Tuberculosis Sanatorium;Pukeora Tuberculosis
diesel engine;reversible tramway seats;the diesel engine;it is the prototype of what would eventually become the most prolific locomotive type;state regulation and requirement for co-operation;private ownership albeit with greater state regulation and requirement for co-operation;the prototype of what would eventually become the most prolific locomotive type;reversible;Tatra Electric Railway;nationalised and put under the Czechoslovak State Railways
Norwich, New York, USA;Staffordshire, England;Boulder, Western Australia;Beamsville, Ontario;Oak Park, Illinois a suburb of Chicago;Nedlands;Oak Park, Illinois;Beamsville;1965;Norwich, New York, USA
1981;13 June 1927;5 September 1951;August 11, 1953;9 December 1914;1936;2012;1919;1951;Johannesburg, South Africa
John Paul II;Saint Willibald;Bernard the Monk;Raymond du Puy de Provence;William of Tyre;Ottoman Sultan Osman III;John the Evangelist;Eastern Christians;Sultan Osman III;the care of Eastern Christians
Frank William Walbank;Aphrodite Hagne;The Bactrians;Ariarathes I;Cappadocian;Zoroaster;Bactrians;Greco-Bactrians;Jean Bodin to John Adams;A History of Republics and Republicans
Altenburg;Germany;Glaucha;Schellenberg;1760;Croatia, Slovenia;Bodendorf;Glaucha, now a part of Halle;born 1760;Altenburg
Sunday;4 January;1 January;Friday;Sunday of the new year;Monday;Leap Day;1 January;leap week;Year Day or Leap Day
